"Date","VIX","Oil","Gold","SP500","Nikkei","SSE","FTSE"
2015-01-05,19.9200000762939,50.0400009155273,1203.90002441406,2020.57995605469,17408.7109375,3350.51904296875,6417.2001953125
2015-01-06,21.1200008392334,47.9300003051758,1219.30004882812,2002.60998535156,16883.189453125,3351.44604492188,6366.5
2015-01-07,19.3099994659424,48.6500015258789,1210.59997558594,2025.90002441406,16885.330078125,3373.9541015625,6419.7998046875
2015-01-08,17.0100002288818,48.7900009155273,1208.40002441406,2062.13989257812,17167.099609375,3293.4560546875,6570
2015-01-09,17.5499992370605,48.3600006103516,1216,2044.81005859375,17197.73046875,3285.412109375,6501.10009765625
2015-01-13,20.5599994659424,45.8899993896484,1234.30004882812,2023.03002929688,17087.7109375,3235.30102539062,6542.2001953125
2015-01-14,21.4799995422363,48.4799995422363,1234.40002441406,2011.27001953125,16795.9609375,3222.43701171875,6388.5
2015-01-15,22.3899993896484,46.25,1264.69995117188,1992.67004394531,17108.69921875,3336.455078125,6498.7998046875
2015-01-16,20.9500007629395,48.689998626709,1276.90002441406,2019.42004394531,16864.16015625,3376.4951171875,6550.2998046875
2015-01-20,19.8899993896484,46.3899993896484,1294.19995117188,2022.55004882812,17366.30078125,3173.05200195312,6620.10009765625
2015-01-21,18.8500003814697,47.7799987792969,1293.69995117188,2032.11999511719,17280.48046875,3323.61108398438,6728
2015-01-22,16.3999996185303,46.310001373291,1300.69995117188,2063.14990234375,17329.01953125,3343.34399414062,6796.60009765625
2015-01-23,16.6599998474121,45.5900001525879,1292.59997558594,2051.82006835938,17511.75,3351.76391601562,6832.7998046875
2015-01-26,15.5200004577637,45.1500015258789,1279.40002441406,2057.09008789062,17468.51953125,3383.18188476562,6852.39990234375
2015-01-27,17.2199993133545,46.2299995422363,1291.69995117188,2029.55004882812,17768.30078125,3352.9599609375,6811.60009765625
2015-01-28,20.4400005340576,44.4500007629395,1285.90002441406,2002.16003417969,17795.73046875,3305.73803710938,6825.89990234375
2015-01-29,18.7600002288818,44.5299987792969,1254.59997558594,2021.25,17606.220703125,3262.30493164062,6810.60009765625
2015-01-30,20.9699993133545,48.2400016784668,1278.5,1994.98999023438,17674.390625,3210.36303710938,6749.39990234375
2015-02-02,19.4300003051758,49.5699996948242,1276.19995117188,2020.84997558594,17558.0390625,3128.30004882812,6782.60009765625
2015-02-03,17.3299999237061,53.0499992370605,1259.69995117188,2050.03002929688,17335.849609375,3204.90698242188,6871.7998046875
2015-02-04,18.3299999237061,48.4500007629395,1263.80004882812,2041.51000976562,17678.740234375,3174.1259765625,6860
2015-02-05,16.8500003814697,50.4799995422363,1262,2062.52001953125,17504.619140625,3136.53100585938,6865.89990234375
2015-02-06,17.2900009155273,51.689998626709,1233.90002441406,2055.46997070312,17648.5,3075.90698242188,6853.39990234375
2015-02-09,18.5499992370605,52.8600006103516,1240.80004882812,2046.73999023438,17711.9296875,3095.1240234375,6837.2001953125
